year,sex,age_group,subtype,count,rate
2009,males,85+,follicular,19,15.3
2009,females,5–14,follicular,0,0
2009,females,15–24,follicular,4,0.3
2009,females,25–34,follicular,7,0.5
2009,females,35–44,follicular,40,2.5
2009,females,45–54,follicular,93,6.2
2009,females,55–64,follicular,139,11.3
2009,females,65–74,follicular,99,12.6
2009,females,75–84,follicular,94,17.3
2009,females,85+,follicular,29,11.9
2010,males,5–14,follicular,0,0
2010,males,15–24,follicular,1,0.1
2010,males,25–34,follicular,20,1.3
2010,males,35–44,follicular,47,3
2010,males,45–54,follicular,101,6.8
2010,males,55–64,follicular,167,13.4
2010,males,65–74,follicular,135,17
2010,males,75–84,follicular,81,18.4
2010,males,85+,follicular,21,16
2010,females,5–14,follicular,0,0
2010,females,15–24,follicular,0,0
2010,females,25–34,follicular,7,0.5
2010,females,35–44,follicular,31,2
2010,females,45–54,follicular,80,5.3
2010,females,55–64,follicular,146,11.6
2010,females,65–74,follicular,135,16.5
2010,females,75–84,follicular,74,13.5
2010,females,85+,follicular,21,8.2
2011,males,5–14,follicular,0,0
2011,males,15–24,follicular,3,0.2
2011,males,25–34,follicular,9,0.6
2011,males,35–44,follicular,49,3.1
2011,males,45–54,follicular,96,6.4
2011,males,55–64,follicular,159,12.5
2011,males,65–74,follicular,151,18.2
2011,males,75–84,follicular,91,20.3
2011,males,85+,follicular,19,13.7
2011,females,5–14,follicular,0,0
2011,females,15–24,follicular,0,0
2011,females,25–34,follicular,5,0.3
2011,females,35–44,follicular,33,2.1
2011,females,45–54,follicular,91,5.9
2011,females,55–64,follicular,127,9.9
2011,females,65–74,follicular,93,10.9
2011,females,75–84,follicular,59,10.7
2011,females,85+,follicular,26,9.8
2012,males,5–14,follicular,2,0.1
2012,males,15–24,follicular,4,0.3
2012,males,25–34,follicular,14,0.8
2012,males,35–44,follicular,56,3.5
2012,males,45–54,follicular,87,5.7
2012,males,55–64,follicular,173,13.5
2012,males,65–74,follicular,155,17.7
2012,males,75–84,follicular,84,18.3
2012,males,85+,follicular,26,17.7
2012,females,5–14,follicular,1,0
2012,females,15–24,follicular,2,0.1
2012,females,25–34,follicular,9,0.6
2012,females,35–44,follicular,38,2.4
2012,females,45–54,follicular,104,6.7
2012,females,55–64,follicular,136,10.4
2012,females,65–74,follicular,110,12.2
2012,females,75–84,follicular,92,16.5
2012,females,85+,follicular,16,5.9
2013,males,5–14,follicular,1,0
2013,males,15–24,follicular,2,0.1
2013,males,25–34,follicular,11,0.6
2013,males,35–44,follicular,44,2.8
2013,males,45–54,follicular,102,6.7
2013,males,55–64,follicular,127,9.8
2013,males,65–74,follicular,169,18.4
2013,males,75–84,follicular,80,17
2013,males,85+,follicular,27,17.4
2013,females,5–14,follicular,0,0
2013,females,15–24,follicular,0,0
2013,females,25–34,follicular,9,0.5
2013,females,35–44,follicular,38,2.4
2013,females,45–54,follicular,96,6.2
2013,females,55–64,follicular,123,9.2
2013,females,65–74,follicular,138,14.7
2013,females,75–84,follicular,84,14.9
2013,females,85+,follicular,25,8.9
2014,males,5–14,follicular,1,0
2014,males,15–24,follicular,3,0.2
2014,males,25–34,follicular,10,0.6
2014,males,35–44,follicular,43,2.7
2014,males,45–54,follicular,98,6.4
2014,males,55–64,follicular,159,12
2014,males,65–74,follicular,171,17.9
2014,males,75–84,follicular,100,20.7
2014,males,85+,follicular,26,15.9
2014,females,5–14,follicular,0,0
2014,females,15–24,follicular,0,0
2014,females,25–34,follicular,8,0.5
2014,females,35–44,follicular,38,2.3
2014,females,45–54,follicular,86,5.5
2014,females,55–64,follicular,144,10.6
2014,females,65–74,follicular,149,15.2
2014,females,75–84,follicular,88,15.4
2014,females,85+,follicular,34,11.7
2015,males,5–14,follicular,0,0
2015,males,15–24,follicular,4,0.2
2015,males,25–34,follicular,9,0.5
2015,males,35–44,follicular,44,2.7
2015,males,45–54,follicular,93,6
2015,males,55–64,follicular,158,11.8
2015,males,65–74,follicular,176,17.8
2015,males,75–84,follicular,111,22.4
2015,males,85+,follicular,29,16.9
2015,females,5–14,follicular,0,0
2015,females,15–24,follicular,2,0.1
2015,females,25–34,follicular,6,0.3
2015,females,35–44,follicular,27,1.7
2015,females,45–54,follicular,78,4.9
2015,females,55–64,follicular,146,10.5
2015,females,65–74,follicular,164,16.1
2015,females,75–84,follicular,68,11.7
2015,females,85+,follicular,23,7.7
2016,males,5–14,follicular,5,0.2
2016,males,15–24,follicular,4,0.2
2016,males,25–34,follicular,11,0.6
2016,males,35–44,follicular,45,2.8
2016,males,45–54,follicular,112,7.2
2016,males,55–64,follicular,174,12.8
2016,males,65–74,follicular,169,16.5
2016,males,75–84,follicular,99,19.4
2016,males,85+,follicular,33,18.4
2016,females,5–14,follicular,0,0
2016,females,15–24,follicular,1,0.1
2016,females,25–34,follicular,4,0.2
2016,females,35–44,follicular,32,2
2016,females,45–54,follicular,90,5.6
2016,females,55–64,follicular,138,9.7
2016,females,65–74,follicular,171,16.2
2016,females,75–84,follicular,98,16.5
2016,females,85+,follicular,29,9.6
2017,males,5–14,follicular,1,0
2017,males,15–24,follicular,2,0.1
2017,males,25–34,follicular,9,0.5
2017,males,35–44,follicular,40,2.5
2017,males,45–54,follicular,103,6.6
2017,males,55–64,follicular,190,13.7
2017,males,65–74,follicular,228,21.6
2017,males,75–84,follicular,122,23
2017,males,85+,follicular,30,16.3
2017,females,5–14,follicular,1,0
2017,females,15–24,follicular,1,0.1
2017,females,25–34,follicular,9,0.5
2017,females,35–44,follicular,35,2.1
2017,females,45–54,follicular,105,6.5
2017,females,55–64,follicular,154,10.6
2017,females,65–74,follicular,176,16.1
2017,females,75–84,follicular,105,17.1
2017,females,85+,follicular,39,12.7
2018,males,5–14,follicular,1,0
2018,males,15–24,follicular,2,0.1
2018,males,25–34,follicular,10,0.5
2018,males,35–44,follicular,31,1.9
2018,males,45–54,follicular,82,5.2
2018,males,55–64,follicular,176,12.4
2018,males,65–74,follicular,244,22.4
2018,males,75–84,follicular,132,24
2018,males,85+,follicular,32,16.9
2018,females,5–14,follicular,0,0
2018,females,15–24,follicular,2,0.1
2018,females,25–34,follicular,6,0.3
2018,females,35–44,follicular,21,1.3
2018,females,45–54,follicular,73,4.5
2018,females,55–64,follicular,131,8.9
2018,females,65–74,follicular,188,16.5
2018,females,75–84,follicular,115,18.2
2018,females,85+,follicular,36,11.6
2019,males,5–14,follicular,0,0
2019,males,15–24,follicular,4,0.2
2019,males,25–34,follicular,11,0.6
2019,males,35–44,follicular,38,2.3
2019,males,45–54,follicular,119,7.5
2019,males,55–64,follicular,186,12.9
2019,males,65–74,follicular,235,21.1
2019,males,75–84,follicular,135,23.4
2019,males,85+,follicular,28,14.4
2019,females,5–14,follicular,0,0
2019,females,15–24,follicular,1,0.1
2019,females,25–34,follicular,7,0.4
2019,females,35–44,follicular,29,1.7
2019,females,45–54,follicular,79,4.8
2019,females,55–64,follicular,154,10.2
2019,females,65–74,follicular,162,13.8
2019,females,75–84,follicular,112,17.1
2019,females,85+,follicular,32,10.2
2020,males,5–14,follicular,0,0
2020,males,15–24,follicular,4,0.2
2020,males,25–34,follicular,16,0.8
2020,males,35–44,follicular,41,2.4
2020,males,45–54,follicular,100,6.2
2020,males,55–64,follicular,239,16.3
2020,males,65–74,follicular,242,21
2020,males,75–84,follicular,158,26
2020,males,85+,follicular,29,14.4
2020,females,5–14,follicular,0,0
2020,females,15–24,follicular,1,0.1
2020,females,25–34,follicular,10,0.5
2020,females,35–44,follicular,30,1.7
2020,females,45–54,follicular,84,5.1
2020,females,55–64,follicular,171,11.1
2020,females,65–74,follicular,209,17.1
2020,females,75–84,follicular,149,21.7
2020,females,85+,follicular,35,11
2021,males,5–14,follicular,2,0.1
2021,males,15–24,follicular,3,0.2
2021,males,25–34,follicular,11,0.6
2021,males,35–44,follicular,35,2
2021,males,45–54,follicular,106,6.6
2021,males,55–64,follicular,189,12.8
2021,males,65–74,follicular,230,19.6
2021,males,75–84,follicular,147,23
2021,males,85+,follicular,33,15.8
2021,females,5–14,follicular,0,0
2021,females,15–24,follicular,1,0.1
2021,females,25–34,follicular,6,0.3
2021,females,35–44,follicular,28,1.6
2021,females,45–54,follicular,66,4
2021,females,55–64,follicular,155,10.1
2021,females,65–74,follicular,177,14.1
2021,females,75–84,follicular,132,18.5
2021,females,85+,follicular,35,10.8
2003,males,5–14,mantle_cell,0,0
2003,males,15–24,mantle_cell,0,0
2003,males,25–34,mantle_cell,1,0.1
2003,males,35–44,mantle_cell,2,0.1
2003,males,45–54,mantle_cell,10,0.7
2003,males,55–64,mantle_cell,21,2.1
2003,males,65–74,mantle_cell,37,5.7
2003,males,75–84,mantle_cell,20,5.2
2003,males,85+,mantle_cell,3,3.4
2003,females,5–14,mantle_cell,0,0
2003,females,15–24,mantle_cell,0,0
2003,females,25–34,mantle_cell,0,0
2003,females,35–44,mantle_cell,0,0
2003,females,45–54,mantle_cell,4,0.3
2003,females,55–64,mantle_cell,9,0.9
2003,females,65–74,mantle_cell,11,1.6
2003,females,75–84,mantle_cell,6,1.2
2003,females,85+,mantle_cell,6,3.1
2004,males,5–14,mantle_cell,0,0
2004,males,15–24,mantle_cell,0,0
2004,males,25–34,mantle_cell,1,0.1
2004,males,35–44,mantle_cell,2,0.1
2004,males,45–54,mantle_cell,13,1
2004,males,55–64,mantle_cell,32,3.1
2004,males,65–74,mantle_cell,41,6.2
2004,males,75–84,mantle_cell,29,7.3
2004,males,85+,mantle_cell,6,6.7
2004,females,5–14,mantle_cell,0,0
2004,females,15–24,mantle_cell,0,0
2004,females,25–34,mantle_cell,1,0.1
2004,females,35–44,mantle_cell,0,0
2004,females,45–54,mantle_cell,4,0.3
2004,females,55–64,mantle_cell,6,0.6
2004,females,65–74,mantle_cell,13,1.9
2004,females,75–84,mantle_cell,9,1.7
2004,females,85+,mantle_cell,4,2
2005,males,5–14,mantle_cell,0,0
2005,males,15–24,mantle_cell,0,0
2005,males,25–34,mantle_cell,1,0.1
2005,males,35–44,mantle_cell,6,0.4
2005,males,45–54,mantle_cell,16,1.2
2005,males,55–64,mantle_cell,19,1.8
2005,males,65–74,mantle_cell,31,4.6
2005,males,75–84,mantle_cell,27,6.7
2005,males,85+,mantle_cell,7,7.3
2005,females,5–14,mantle_cell,0,0
2005,females,15–24,mantle_cell,0,0
2005,females,25–34,mantle_cell,0,0
2005,females,35–44,mantle_cell,1,0.1
2005,females,45–54,mantle_cell,1,0.1
2005,females,55–64,mantle_cell,8,0.7
2005,females,65–74,mantle_cell,7,1
2005,females,75–84,mantle_cell,14,2.6
2005,females,85+,mantle_cell,8,3.9
2006,males,5–14,mantle_cell,0,0
2006,males,15–24,mantle_cell,0,0
2006,males,25–34,mantle_cell,0,0
2006,males,35–44,mantle_cell,2,0.1
2006,males,45–54,mantle_cell,15,1.1
2006,males,55–64,mantle_cell,30,2.7
2006,males,65–74,mantle_cell,39,5.7
2006,males,75–84,mantle_cell,32,7.7
2006,males,85+,mantle_cell,4,3.9
2006,females,5–14,mantle_cell,0,0
2006,females,15–24,mantle_cell,0,0
2006,females,25–34,mantle_cell,0,0
2006,females,35–44,mantle_cell,1,0.1
2006,females,45–54,mantle_cell,3,0.2
2006,females,55–64,mantle_cell,11,1
2006,females,65–74,mantle_cell,10,1.4
2006,females,75–84,mantle_cell,12,2.2
2006,females,85+,mantle_cell,8,3.7
2007,males,5–14,mantle_cell,0,0
2007,males,15–24,mantle_cell,0,0
2007,males,25–34,mantle_cell,0,0
2007,males,35–44,mantle_cell,4,0.3
2007,males,45–54,mantle_cell,17,1.2
2007,males,55–64,mantle_cell,26,2.3
2007,males,65–74,mantle_cell,38,5.4
2007,males,75–84,mantle_cell,37,8.8
2007,males,85+,mantle_cell,7,6.3
2007,females,5–14,mantle_cell,0,0
2007,females,15–24,mantle_cell,0,0
2007,females,25–34,mantle_cell,1,0.1
2007,females,35–44,mantle_cell,2,0.1
2007,females,45–54,mantle_cell,9,0.6
2007,females,55–64,mantle_cell,9,0.8
2007,females,65–74,mantle_cell,11,1.5
2007,females,75–84,mantle_cell,13,2.4
2007,females,85+,mantle_cell,6,2.7
2008,males,5–14,mantle_cell,0,0
2008,males,15–24,mantle_cell,0,0
2008,males,25–34,mantle_cell,1,0.1
2008,males,35–44,mantle_cell,4,0.3
2008,males,45–54,mantle_cell,15,1
2008,males,55–64,mantle_cell,28,2.4
2008,males,65–74,mantle_cell,52,7.1
2008,males,75–84,mantle_cell,36,8.4
2008,males,85+,mantle_cell,9,7.7
2008,females,5–14,mantle_cell,0,0
2008,females,15–24,mantle_cell,0,0
2008,females,25–34,mantle_cell,0,0
2008,females,35–44,mantle_cell,0,0
2008,females,45–54,mantle_cell,6,0.4
2008,females,55–64,mantle_cell,8,0.7
2008,females,65–74,mantle_cell,22,2.9
2008,females,75–84,mantle_cell,20,3.7
2008,females,85+,mantle_cell,7,3
2009,males,5–14,mantle_cell,0,0
2009,males,15–24,mantle_cell,0,0
2009,males,25–34,mantle_cell,1,0.1
2009,males,35–44,mantle_cell,6,0.4
2009,males,45–54,mantle_cell,15,1
2009,males,55–64,mantle_cell,32,2.6
2009,males,65–74,mantle_cell,40,5.3
2009,males,75–84,mantle_cell,37,8.5
2009,males,85+,mantle_cell,10,8.1
2009,females,5–14,mantle_cell,0,0
2009,females,15–24,mantle_cell,1,0.1
2009,females,25–34,mantle_cell,0,0
2009,females,35–44,mantle_cell,1,0.1
2009,females,45–54,mantle_cell,3,0.2
2009,females,55–64,mantle_cell,7,0.6
2009,females,65–74,mantle_cell,11,1.4
2009,females,75–84,mantle_cell,18,3.3
2009,females,85+,mantle_cell,6,2.5
2010,males,5–14,mantle_cell,0,0
2010,males,15–24,mantle_cell,0,0
2010,males,25–34,mantle_cell,0,0
2010,males,35–44,mantle_cell,2,0.1
2010,males,45–54,mantle_cell,21,1.4
2010,males,55–64,mantle_cell,36,2.9
2010,males,65–74,mantle_cell,52,6.5
2010,males,75–84,mantle_cell,41,9.3
2010,males,85+,mantle_cell,11,8.4
2010,females,5–14,mantle_cell,0,0
2010,females,15–24,mantle_cell,0,0
2010,females,25–34,mantle_cell,0,0
2010,females,35–44,mantle_cell,1,0.1
2010,females,45–54,mantle_cell,4,0.3
2010,females,55–64,mantle_cell,10,0.8
2010,females,65–74,mantle_cell,12,1.5
2010,females,75–84,mantle_cell,21,3.8
2010,females,85+,mantle_cell,2,0.8
2011,males,5–14,mantle_cell,0,0
2011,males,15–24,mantle_cell,0,0
2011,males,25–34,mantle_cell,0,0
2011,males,35–44,mantle_cell,3,0.2
2011,males,45–54,mantle_cell,21,1.4
2011,males,55–64,mantle_cell,33,2.6
2011,males,65–74,mantle_cell,42,5.1
2011,males,75–84,mantle_cell,47,10.5
2011,males,85+,mantle_cell,7,5
2011,females,5–14,mantle_cell,0,0
2011,females,15–24,mantle_cell,0,0
2011,females,25–34,mantle_cell,0,0
2011,females,35–44,mantle_cell,1,0.1
2011,females,45–54,mantle_cell,8,0.5
2011,females,55–64,mantle_cell,14,1.1
2011,females,65–74,mantle_cell,13,1.5
2011,females,75–84,mantle_cell,24,4.3
2011,females,85+,mantle_cell,5,1.9
2012,males,5–14,mantle_cell,0,0
2012,males,15–24,mantle_cell,0,0
2012,males,25–34,mantle_cell,0,0
2012,males,35–44,mantle_cell,4,0.3
2012,males,45–54,mantle_cell,14,0.9
2012,males,55–64,mantle_cell,36,2.8
2012,males,65–74,mantle_cell,51,5.8
2012,males,75–84,mantle_cell,35,7.6
2012,males,85+,mantle_cell,9,6.1
2012,females,5–14,mantle_cell,0,0
2012,females,15–24,mantle_cell,0,0
2012,females,25–34,mantle_cell,0,0
2012,females,35–44,mantle_cell,1,0.1
2012,females,45–54,mantle_cell,4,0.3
2012,females,55–64,mantle_cell,9,0.7
2012,females,65–74,mantle_cell,20,2.2
2012,females,75–84,mantle_cell,24,4.3
2012,females,85+,mantle_cell,10,3.7
2013,males,5–14,mantle_cell,0,0
2013,males,15–24,mantle_cell,0,0
2013,males,25–34,mantle_cell,1,0.1
2013,males,35–44,mantle_cell,2,0.1
2013,males,45–54,mantle_cell,6,0.4
2013,males,55–64,mantle_cell,52,4
2013,males,65–74,mantle_cell,58,6.3
2013,males,75–84,mantle_cell,41,8.7
2013,males,85+,mantle_cell,19,12.2
2013,females,5–14,mantle_cell,0,0
2013,females,15–24,mantle_cell,0,0
2013,females,25–34,mantle_cell,0,0
2013,females,35–44,mantle_cell,0,0
2013,females,45–54,mantle_cell,7,0.4
2013,females,55–64,mantle_cell,6,0.5
2013,females,65–74,mantle_cell,20,2.1
2013,females,75–84,mantle_cell,29,5.1
2013,females,85+,mantle_cell,10,3.5
2014,males,5–14,mantle_cell,0,0
2014,males,15–24,mantle_cell,0,0
2014,males,25–34,mantle_cell,0,0
2014,males,35–44,mantle_cell,7,0.4
2014,males,45–54,mantle_cell,17,1.1
2014,males,55–64,mantle_cell,40,3
2014,males,65–74,mantle_cell,56,5.9
2014,males,75–84,mantle_cell,44,9.1
2014,males,85+,mantle_cell,17,10.4
2014,females,5–14,mantle_cell,0,0
2014,females,15–24,mantle_cell,0,0
2014,females,25–34,mantle_cell,0,0
2014,females,35–44,mantle_cell,0,0
2014,females,45–54,mantle_cell,4,0.3
2014,females,55–64,mantle_cell,15,1.1
2014,females,65–74,mantle_cell,30,3.1
2014,females,75–84,mantle_cell,22,3.8
2014,females,85+,mantle_cell,9,3.1
2015,males,5–14,mantle_cell,0,0
2015,males,15–24,mantle_cell,0,0
2015,males,25–34,mantle_cell,1,0.1
2015,males,35–44,mantle_cell,3,0.2
2015,males,45–54,mantle_cell,20,1.3
2015,males,55–64,mantle_cell,33,2.5
2015,males,65–74,mantle_cell,53,5.4
2015,males,75–84,mantle_cell,47,9.5
2015,males,85+,mantle_cell,18,10.5
2015,females,5–14,mantle_cell,0,0
2015,females,15–24,mantle_cell,0,0
2015,females,25–34,mantle_cell,0,0
2015,females,35–44,mantle_cell,1,0.1
2015,females,45–54,mantle_cell,6,0.4
2015,females,55–64,mantle_cell,12,0.9
2015,females,65–74,mantle_cell,29,2.9
2015,females,75–84,mantle_cell,24,4.1
2015,females,85+,mantle_cell,14,4.7
2016,males,5–14,mantle_cell,0,0
2016,males,15–24,mantle_cell,0,0
2016,males,25–34,mantle_cell,0,0
2016,males,35–44,mantle_cell,3,0.2
2016,males,45–54,mantle_cell,13,0.8
2016,males,55–64,mantle_cell,45,3.3
2016,males,65–74,mantle_cell,57,5.6
2016,males,75–84,mantle_cell,55,10.8
2016,males,85+,mantle_cell,16,8.9
2016,females,5–14,mantle_cell,0,0
2016,females,15–24,mantle_cell,0,0
2016,females,25–34,mantle_cell,0,0
2016,females,35–44,mantle_cell,1,0.1
2016,females,45–54,mantle_cell,5,0.3
2016,females,55–64,mantle_cell,23,1.6
2016,females,65–74,mantle_cell,17,1.6
2016,females,75–84,mantle_cell,15,2.5
2016,females,85+,mantle_cell,7,2.3
2017,males,5–14,mantle_cell,0,0
2017,males,15–24,mantle_cell,0,0
2017,males,25–34,mantle_cell,0,0
2017,males,35–44,mantle_cell,4,0.2
2017,males,45–54,mantle_cell,14,0.9
2017,males,55–64,mantle_cell,55,4
2017,males,65–74,mantle_cell,84,7.9
2017,males,75–84,mantle_cell,56,10.5
2017,males,85+,mantle_cell,19,10.3
2017,females,5–14,mantle_cell,0,0
2017,females,15–24,mantle_cell,0,0
2017,females,25–34,mantle_cell,1,0.1
2017,females,35–44,mantle_cell,1,0.1
2017,females,45–54,mantle_cell,12,0.7
2017,females,55–64,mantle_cell,14,1
2017,females,65–74,mantle_cell,23,2.1
2017,females,75–84,mantle_cell,24,3.9
2017,females,85+,mantle_cell,8,2.6
2018,males,5–14,mantle_cell,0,0
2018,males,15–24,mantle_cell,0,0
2018,males,25–34,mantle_cell,0,0
2018,males,35–44,mantle_cell,3,0.2
2018,males,45–54,mantle_cell,15,1
2018,males,55–64,mantle_cell,40,2.8
2018,males,65–74,mantle_cell,67,6.2
2018,males,75–84,mantle_cell,57,10.3
2018,males,85+,mantle_cell,19,10.1
2018,females,5–14,mantle_cell,0,0
2018,females,15–24,mantle_cell,0,0
2018,females,25–34,mantle_cell,0,0
2018,females,35–44,mantle_cell,0,0
2018,females,45–54,mantle_cell,4,0.2
2018,females,55–64,mantle_cell,18,1.2
2018,females,65–74,mantle_cell,26,2.3
2018,females,75–84,mantle_cell,19,3
2018,females,85+,mantle_cell,8,2.6
2019,males,5–14,mantle_cell,0,0
2019,males,15–24,mantle_cell,1,0.1
2019,males,25–34,mantle_cell,2,0.1
2019,males,35–44,mantle_cell,3,0.2
2019,males,45–54,mantle_cell,18,1.1
2019,males,55–64,mantle_cell,56,3.9
2019,males,65–74,mantle_cell,76,6.8
2019,males,75–84,mantle_cell,63,10.9
2019,males,85+,mantle_cell,25,12.9
2019,females,5–14,mantle_cell,0,0
2019,females,15–24,mantle_cell,0,0
2019,females,25–34,mantle_cell,0,0
2019,females,35–44,mantle_cell,1,0.1
2019,females,45–54,mantle_cell,5,0.3
2019,females,55–64,mantle_cell,16,1.1
2019,females,65–74,mantle_cell,23,2
2019,females,75–84,mantle_cell,15,2.3
2019,females,85+,mantle_cell,7,2.2
2020,males,5–14,mantle_cell,0,0
2020,males,15–24,mantle_cell,0,0
2020,males,25–34,mantle_cell,0,0
2020,males,35–44,mantle_cell,4,0.2
2020,males,45–54,mantle_cell,18,1.1
2020,males,55–64,mantle_cell,45,3.1
2020,males,65–74,mantle_cell,98,8.5
2020,males,75–84,mantle_cell,61,10
2020,males,85+,mantle_cell,22,11
2020,females,5–14,mantle_cell,0,0
2020,females,15–24,mantle_cell,1,0.1
2020,females,25–34,mantle_cell,1,0.1
2020,females,35–44,mantle_cell,1,0.1
2020,females,45–54,mantle_cell,6,0.4
2020,females,55–64,mantle_cell,17,1.1
2020,females,65–74,mantle_cell,26,2.1
2020,females,75–84,mantle_cell,19,2.8
2020,females,85+,mantle_cell,15,4.7
2021,males,5–14,mantle_cell,0,0
2021,males,15–24,mantle_cell,0,0
2021,males,25–34,mantle_cell,0,0
2021,males,35–44,mantle_cell,2,0.1
2021,males,45–54,mantle_cell,18,1.1
2021,males,55–64,mantle_cell,47,3.2
2021,males,65–74,mantle_cell,51,4.3
2021,males,75–84,mantle_cell,52,8.2
2021,males,85+,mantle_cell,19,9.1
2021,females,5–14,mantle_cell,0,0
2021,females,15–24,mantle_cell,0,0
2021,females,25–34,mantle_cell,0,0
2021,females,35–44,mantle_cell,0,0
2021,females,45–54,mantle_cell,5,0.3
2021,females,55–64,mantle_cell,9,0.6
2021,females,65–74,mantle_cell,30,2.4
2021,females,75–84,mantle_cell,18,2.5
2021,females,85+,mantle_cell,13,4
2003,males,5–14,dlbcl,4,0.2
2003,males,15–24,dlbcl,17,1.2
2003,males,25–34,dlbcl,26,1.8
2003,males,35–44,dlbcl,58,3.9
2003,males,45–54,dlbcl,91,6.8
2003,males,55–64,dlbcl,153,15.1
2003,males,65–74,dlbcl,173,26.6
2003,males,75–84,dlbcl,151,39.6
2003,males,85+,dlbcl,40,45.9
2003,females,5–14,dlbcl,1,0.1
2003,females,15–24,dlbcl,10,0.8
2003,females,25–34,dlbcl,14,1
2003,females,35–44,dlbcl,24,1.6
2003,females,45–54,dlbcl,58,4.3
2003,females,55–64,dlbcl,90,9.1
2003,females,65–74,dlbcl,119,17.3
2003,females,75–84,dlbcl,175,34.1
2003,females,85+,dlbcl,61,31.7
